product,category,price,quantity,revenue,region
Laptop,Electronics,999.99,15.0,14999.85,North
Phone,Electronics,699.5,25.0,17487.5,South
Desk,Furniture,249.99,8.0,1999.92,East
Chair,Furniture,149.99,20.0,2999.8,West
Monitor,Electronics,399.0,12.0,4788.0,North
Keyboard,Electronics,79.99,50.0,3999.5,South
Lamp,Furniture,39.99,30.0,1199.7,East
Headset,Electronics,159.99,18.0,2879.82,West
Table,Furniture,599.99,5.0,2999.95,North
Mouse,Electronics,29.99,60.0,1799.4,South
Shelf,Furniture,,10.0,0.0,East
Cable,Electronics,9.99,100.0,999.0,West
Webcam,Electronics,89.99,,0.0,North
Speaker,Electronics,199.99,8.0,1599.92,South
Sofa,Furniture,899.99,3.0,2699.97,East
Mouse,Electronics,847.7,66.0,55948.2,East
Coffee Table,Furniture,1273.24,17.0,21645.08,South
Hard Drive,Electronics,781.75,85.0,66448.75,East
Wardrobe,Furniture,1185.3,42.0,49782.6,East
Bookshelf,Furniture,489.4,92.0,45024.8,East
TV,Electronics,1332.21,43.0,57285.03,North
Hard Drive,Electronics,382.92,69.0,26421.48,South
Coffee Table,Furniture,463.16,98.0,45389.68,North
Projector,Electronics,1497.24,115.0,172182.6,East
Microphone,Electronics,1187.39,50.0,59369.5,South
Microphone,Electronics,,,0.0,North
Stool,Furniture,419.77,28.0,11753.56,North
Projector,Electronics,1388.13,104.0,144365.52,West
Stool,Furniture,305.57,72.0,22001.04,East
Projector,Electronics,93.94,85.0,7984.9,North
Microphone,Electronics,481.9,2.0,963.8,East
Microphone,Electronics,1186.99,87.0,103268.13,North
Projector,Electronics,,65.0,0.0,West
Lamp,Furniture,423.07,36.0,15230.52,South
Coffee Table,Furniture,301.08,4.0,1204.32,West
SSD,Electronics,1114.85,85.0,94762.25,North
Microphone,Electronics,924.75,60.0,55485.0,South
Router,Electronics,,118.0,0.0,West
TV,Electronics,698.04,25.0,17451.0,North
Bench,Furniture,1470.9,102.0,150031.8,North
Projector,Electronics,1364.09,14.0,19097.26,West
SSD,Electronics,355.29,7.0,2487.03,West
Drawer,Furniture,306.06,,0.0,West
Wardrobe,Furniture,207.78,75.0,15583.5,West
Bench,Furniture,505.57,20.0,10111.4,East
Hard Drive,Electronics,71.77,55.0,3947.35,North
Coffee Table,Furniture,1025.13,116.0,118915.08,West
Drawer,Furniture,180.85,117.0,21159.45,East
Projector,Electronics,750.3,95.0,71278.5,South
Router,Electronics,1148.81,93.0,106839.33,East
TV,Electronics,332.98,30.0,9989.4,North
Smartwatch,Electronics,562.52,97.0,54564.44,East
Drawer,Furniture,549.29,59.0,32408.11,West
Bed,Furniture,191.02,17.0,3247.34,West
Drawer,Furniture,217.91,2.0,435.82,East
Projector,Electronics,1165.94,69.0,80449.86,North
Bench,Furniture,931.17,,0.0,West
Wardrobe,Furniture,1389.85,55.0,76441.75,West
SSD,Electronics,997.43,45.0,44884.35,South
Printer,Electronics,959.86,4.0,3839.44,North
Stool,Furniture,1129.7,84.0,94894.8,South
Coffee Table,Furniture,352.11,10.0,3521.1,East
Wardrobe,Furniture,740.94,,0.0,South
Coffee Table,Furniture,,105.0,0.0,East
Hard Drive,Electronics,790.67,7.0,5534.69,East
Router,Electronics,1288.94,70.0,90225.8,South
Projector,Electronics,784.82,77.0,60431.14,South
Smartwatch,Electronics,100.06,59.0,5903.54,North
Bookshelf,Furniture,441.07,40.0,17642.8,North
SSD,Electronics,1195.8,12.0,14349.6,West
Wardrobe,Furniture,102.79,103.0,10587.37,West
Drawer,Furniture,1091.52,40.0,43660.8,West
Bookshelf,Furniture,759.33,89.0,67580.37,West
Bookshelf,Furniture,1460.59,8.0,11684.72,West
SSD,Electronics,215.21,42.0,9038.82,South
Bed,Furniture,658.9,98.0,64572.2,North
Stool,Furniture,137.15,104.0,14263.6,North
Projector,Electronics,280.25,1.0,280.25,North
Bed,Furniture,155.52,5.0,777.6,North
Lamp,Furniture,398.05,109.0,43387.45,West
Stool,Furniture,218.19,50.0,10909.5,West
Drawer,Furniture,384.37,12.0,4612.44,East
Cabinet,Furniture,273.75,99.0,27101.25,West
Router,Electronics,523.78,33.0,17284.74,North
Microphone,Electronics,1437.11,102.0,146585.22,North
Projector,Electronics,1210.91,42.0,50858.22,North
Microphone,Electronics,1350.25,72.0,97218.0,East
Smartwatch,Electronics,622.1,21.0,13064.1,East
Sofa,Furniture,680.57,12.0,8166.84,West
Bookshelf,Furniture,1023.23,111.0,113578.53,South
SSD,Electronics,29.39,80.0,2351.2,South
Hard Drive,Electronics,689.52,105.0,72399.6,West
Router,Electronics,1422.38,51.0,72541.38,West
Bookshelf,Furniture,524.06,3.0,1572.18,South
Smartwatch,Electronics,914.43,85.0,77726.55,North
Bookshelf,Furniture,111.45,88.0,9807.6,South
TV,Electronics,296.98,40.0,11879.2,South
Bookshelf,Furniture,1449.22,51.0,73910.22,North
Bed,Furniture,1346.53,15.0,20197.95,North
Hard Drive,Electronics,267.85,60.0,16071.0,South
