product,category,price,quantity,revenue,region,store,rating
Rice,Groceries,372.07,32.0,11906.24,North,Store D,4.4
Rice,Groceries,51.38,,0.0,West,Store B,3.4
Helmet,Sports,142.7,1.0,142.7,East,Store B,3.8
Jacket,Clothing,55.59,49.0,2723.91,North,Store D,4.2
Shampoo,Beauty,486.69,49.0,23847.81,East,Store B,4.3
Rice,Groceries,332.33,38.0,12628.54,West,Store C,4.7
Gloves,Sports,417.88,21.0,8775.48,North,Store B,3.5
Lotion,Beauty,126.18,60.0,7570.8,South,Store C,4.3
Milk,Groceries,411.79,41.0,16883.39,East,Store B,4.8
Yoga Mat,Sports,442.92,59.0,26132.28,East,Store D,4.5
Lipstick,Beauty,184.19,18.0,3315.42,North,Store B,3.1
Sweater,Clothing,213.97,9.0,1925.73,East,Store A,3.9
Tea,Groceries,442.97,35.0,15503.95,South,Store D,3.6
Tea,Groceries,438.55,34.0,14910.7,North,Store C,4.0
Soap,Beauty,103.46,48.0,4966.08,North,Store C,4.6
Football,Sports,60.37,47.0,2837.39,North,Store B,3.6
Shampoo,Beauty,47.4,63.0,2986.2,South,Store B,4.1
Helmet,Sports,86.74,68.0,5898.32,South,Store C,3.4
Gloves,Sports,326.69,57.0,18621.33,North,Store C,3.5
Sugar,Groceries,,29.0,0.0,North,Store A,3.1
Novel,Books,259.51,36.0,9342.36,West,Store B,3.3
Yoga Mat,Sports,99.25,13.0,1290.25,North,Store A,3.8
Eggs,Groceries,365.47,14.0,5116.58,West,Store B,3.9
Magazine,Books,128.65,10.0,1286.5,North,Store A,4.1
Milk,Groceries,87.32,63.0,5501.16,South,Store D,4.8
Eggs,Groceries,136.28,59.0,8040.52,West,Store B,4.5
Jacket,Clothing,112.76,8.0,902.08,North,Store A,4.5
Lipstick,Beauty,253.91,68.0,17265.88,South,Store A,3.2
Shampoo,Beauty,339.23,31.0,10516.13,North,Store A,4.1
Gloves,Sports,293.92,67.0,19692.64,East,Store B,4.3
Magazine,Books,69.78,39.0,2721.42,North,Store D,4.9
Soap,Beauty,498.07,10.0,4980.7,East,Store A,3.3
Jacket,Clothing,146.07,57.0,8325.99,North,Store C,4.2
Milk,Groceries,135.91,14.0,1902.74,South,Store C,3.6
Sweater,Clothing,318.95,34.0,10844.3,North,Store A,4.8
Tennis Ball,Sports,26.82,43.0,1153.26,West,Store D,3.5
Shampoo,Beauty,60.38,20.0,1207.6,South,Store D,4.2
T-Shirt,Clothing,157.59,6.0,945.54,North,Store C,3.5
Lipstick,Beauty,487.05,20.0,9741.0,South,Store D,3.3
Milk,Groceries,369.6,43.0,15892.8,South,Store C,4.3
Sweater,Clothing,58.51,5.0,292.55,West,Store C,4.6
