product,category,price,quantity,revenue,region
Laptop,Electronics,999.99,15,14999.85,North
Phone,Electronics,699.50,25,17487.50,South
Desk,Furniture,249.99,8,1999.92,East
Chair,Furniture,149.99,20,2999.80,West
Monitor,Electronics,399.00,12,4788.00,North
Keyboard,Electronics,79.99,50,3999.50,South
Lamp,Furniture,39.99,30,1199.70,East
Headset,Electronics,159.99,18,2879.82,West
Table,Furniture,599.99,5,2999.95,North
Mouse,Electronics,29.99,60,1799.40,South
Shelf,Furniture,,10,0.00,East
Cable,Electronics,9.99,100,999.00,West
Webcam,Electronics,89.99,,0.00,North
Speaker,Electronics,199.99,8,1599.92,South
Sofa,Furniture,899.99,3,2699.97,East
